district,metro,area,rooms,floor,gk,price,adress
2.87,3,55.0,2,4,1,32600,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
2.87,3,78.0,2,4,0,54300,"
ул. Тютюнника Василия (Барбюса Анри), 37, Киев
"
1.19,3,106.0,3,4,0,19500,"
ул. Дашавская, 25, Киев
"
1.22,1,50.0,2,4,0,21000,"
Героев Сталинграда просп., Киев
"
1.22,1,35.0,1,4,0,27200,"
ул. Тимошенко Маршала, Киев
"
2.87,3,76.0,3,4,0,27200,"
ул. Рыбальская, 7, Киев
"
1.19,3,52.0,1,4,1,15000,"
ул. Богдановская, 7а, Киев
"
1.12,1,57.0,2,4,0,24000,"
ул. Ревуцкого, 9, Киев
"
2.87,3,93.0,3,4,1,32600,"
Леси Украинки бульв., 7б, Киев
"
2.87,3,200.0,5,4,0,76100,"
ул. Шелковичная, 20, Киев
"
1.53,3,73.0,3,4,0,20000,"
ул. Саперно-Слободская, 22, Киев
"
2.87,3,43.0,2,4,1,23000,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
2.87,3,50.0,2,4,1,24500,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
2.87,3,46.0,2,4,1,27200,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.19,3,55.0,2,4,0,27200,"
ул. Никольско-Слободская, 3а, Киев
"
